Title;Category;Subcategory;Class;IT Application Technology;IT Management & Support Processes;IT External Supply Chain;IT Engineering;IT Internal Supply Chain;IT Desktop Mgmt. & Support;IT Data Center;IT Network & Communication;IT Cross-functional solutions;IT PMO Operational;IT Processes & Rules;Local Infr. / Apps ME;Local Infr. / Apps EE;Local Infr. / Apps SE;Local Infr. / Apps KANA;IT Global Applications SE;IT Global Applications EE;IT Global Applications ME;IT Global Application KANA;AITS Support (external);LOB;LOB Comment;Useful links & Comments;Item Type;Path
Lanus;Local Business Applications;Lanus;Application;-;-;-;-;-;-;-;-;-;-;-;-;S;-;-;-;-;-;-;-;A;Hungary HR / Payroll;;Element;IT/Lists/RASCI  POC
NEXONBér;Local Business Applications;NEXONBér;Application;-;-;-;-;-;-;-;-;-;-;-;-;S;-;-;-;-;-;-;-;A;Hungary HR / Payroll;;Element;IT/Lists/RASCI  POC
Paisy (HR);Local Business Applications;Paisy (HR);Application;-;-;-;-;-;-;-;-;-;-;-;S;-;-;-;-;-;-;-;-;A;HR;;Element;IT/Lists/RASCI  POC
Paycor;Local Business Applications;Paycor;Application;-;-;-;-;-;-;-;-;-;-;-;-;-;-;S;-;-;-;-;-;A;US HR / Payroll;;Element;IT/Lists/RASCI  POC
PLM-NewToolshop-ATT;Local Business Applications;PLM-NewToolshop-ATT;Application;-;-;-;-;-;-;R;-;-;-;-;S;-;-;-;-;-;-;-;-;A;New Toolshop in Attendorn;;Element;IT/Lists/RASCI  POC
Quality Measure Software;Local Business Applications;Quality Measure Software;Application;-;-;-;-;-;-;-;-;-;-;-;S;S;S;S;C;C;C;-;-;A;Quality;;Element;IT/Lists/RASCI  POC
Sage Payroll;Local Business Applications;Sage Payroll;Application;-;-;-;-;-;-;-;-;-;-;-;S;-;-;-;-;-;-;-;-;A;Ireland HR / Payroll;;Element;IT/Lists/RASCI  POC
SAL;Local Business Applications;SAL;Application;-;-;-;-;-;-;-;-;-;-;-;-;S;-;-;-;-;-;-;-;A;Romania HR / Payroll;;Element;IT/Lists/RASCI  POC
S-Check (TIA) HR;Local Business Applications;S-Check (TIA) HR;Application;-;-;-;-;-;-;-;-;-;-;-;R;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
S-Check (TIA) Vendor/Customer;Local Business Applications;S-Check (TIA) Vendor/Customer;Application;-;-;-;-;-;-;-;-;-;-;-;R;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Simple (Poland) (HR);Local Business Applications;Simple (Poland) (HR);Application;-;-;-;-;-;-;-;-;-;-;-;-;S;-;-;-;-;-;-;-;A;HR;;Element;IT/Lists/RASCI  POC
Tress;Local Business Applications;Tress;Application;-;-;-;-;-;-;-;-;-;-;-;-;-;-;S;-;-;-;-;-;A;MX HR / Payroll;;Element;IT/Lists/RASCI  POC
